sourceRow,applyOverride,Ngay thang,MaLop,TenLop,Giáo viên,TenThu,Buoi so,So_gio_GV,TenLop2,am/pm,Column1,notes
204,,,,,,T7,N,1,(+),(,11900,
205,,,,,,T7,N,1,(+),(,11900,
206,,,,,,T7,N,1,(+),(,11900,
207,,,,,,T7,N,1,(+),(,11900,
208,,,,,,T7,N,1,(+),(,11900,
209,,,,,,T7,N,1,(+),(,11900,
210,,,,,,T7,N,1,(+),(,11900,
211,,,,,,T7,N,1,(+),(,11900,
212,,,,,,T7,N,1,(+),(,11900,
213,,,,,,T7,N,1,(+),(,11900,
214,,,,,,T7,N,1,(+),(,11900,
215,,,,,,T7,N,1,(+),(,11900,
216,,,,,,T7,N,1,(+),(,11900,
217,,,,,,T7,N,1,(+),(,11900,
218,,,,,,T7,N,1,(+),(,11900,
219,,,,,,T7,N,1,(+),(,11900,
220,,,,,,T7,N,1,(+),(,11900,
221,,,,,,T7,N,1,(+),(,11900,
222,,,,,,T7,N,1,(+),(,11900,
223,,,,,,T7,N,1,(+),(,11900,
224,,,,,,T7,N,1,(+),(,11900,
225,,,,,,T7,N,1,(+),(,11900,
226,,,,,,T7,N,1,(+),(,11900,
227,,,,,,T7,N,1,(+),(,11900,
228,,,,,,T7,N,1,(+),(,11900,
229,,,,,,T7,N,1,(+),(,11900,
230,,,,,,T7,N,1,(+),(,11900,
231,,,,,,T7,N,1,(+),(,11900,
232,,,,,,T7,N,1,(+),(,11900,
233,,,,,,T7,N,1,(+),(,11900,
234,,,,,,T7,N,1,(+),(,11900,
235,,,,,,T7,N,1,(+),(,11900,
236,,,,,,T7,N,1,(+),(,11900,
237,,,,,,T7,N,1,(+),(,11900,
238,,,,,,T7,N,1,(+),(,11900,
239,,,,,,T7,N,1,(+),(,11900,
240,,,,,,T7,N,1,(+),(,11900,
241,,,,,,T7,N,1,(+),(,11900,
242,,,,,,T7,N,1,(+),(,11900,
243,,,,,,T7,N,1,(+),(,11900,
244,,,,,,T7,N,1,(+),(,11900,
245,,,,,,T7,N,1,(+),(,11900,
246,,,,,,T7,N,1,(+),(,11900,
247,,,,,,T7,N,1,(+),(,11900,
248,,,,,,T7,N,1,(+),(,11900,
249,,,,,,T7,N,1,(+),(,11900,
250,,,,,,T7,N,1,(+),(,11900,
251,,,,,,T7,N,1,(+),(,11900,
252,,,,,,T7,N,1,(+),(,11900,
253,,,,,,T7,N,1,(+),(,11900,
254,,,,,,T7,N,1,(+),(,11900,
255,,,,,,T7,N,1,(+),(,11900,
256,,,,,,T7,N,1,(+),(,11900,
257,,,,,,T7,N,1,(+),(,11900,
258,,,,,,T7,N,1,(+),(,11900,
259,,,,,,T7,N,1,(+),(,11900,
260,,,,,,T7,N,1,(+),(,11900,
261,,,,,,T7,N,1,(+),(,11900,
262,,,,,,T7,N,1,(+),(,11900,
263,,,,,,T7,N,1,(+),(,11900,
264,,,,,,T7,N,1,(+),(,11900,
265,,,,,,T7,N,1,(+),(,11900,
266,,,,,,T7,N,1,(+),(,11900,
267,,,,,,T7,N,1,(+),(,11900,
268,,,,,,T7,N,1,(+),(,11900,
269,,,,,,T7,N,1,(+),(,11900,
270,,,,,,T7,N,1,(+),(,11900,
271,,,,,,T7,N,1,(+),(,11900,
272,,,,,,T7,N,1,(+),(,11900,
273,,,,,,T7,N,1,(+),(,11900,
274,,,,,,T7,N,1,(+),(,11900,
275,,,,,,T7,N,1,(+),(,11900,
276,,,,,,T7,N,1,(+),(,11900,
277,,,,,,T7,N,1,(+),(,11900,
278,,,,,,T7,N,1,(+),(,11900,
279,,,,,,T7,N,1,(+),(,11900,
280,,,,,,T7,N,1,(+),(,11900,
281,,,,,,T7,N,1,(+),(,11900,
282,,,,,,T7,N,1,(+),(,11900,
283,,,,,,T7,N,1,(+),(,11900,
284,,,,,,T7,N,1,(+),(,11900,
285,,,,,,T7,N,1,(+),(,11900,
286,,,,,,T7,N,1,(+),(,11900,
287,,,,,,T7,N,1,(+),(,11900,
288,,,,,,T7,N,1,(+),(,11900,
289,,,,,,T7,N,1,(+),(,11900,
290,,,,,,T7,N,1,(+),(,11900,
291,,,,,,T7,N,1,(+),(,11900,
292,,,,,,T7,N,1,(+),(,11900,
293,,,,,,T7,N,1,(+),(,11900,
294,,,,,,T7,N,1,(+),(,11900,
295,,,,,,T7,N,1,(+),(,11900,
296,,,,,,T7,N,1,(+),(,11900,
297,,,,,,T7,N,1,(+),(,11900,
298,,,,,,T7,N,1,(+),(,11900,
299,,,,,,T7,N,1,(+),(,11900,
300,,,,,,T7,N,1,(+),(,11900,
301,,,,,,T7,N,1,(+),(,11900,
302,,,,,,T7,N,1,(+),(,11900,
303,,,,,,T7,N,1,(+),(,11900,
