sheet,table,range,column_index,excel_column,field_name,classification,inferred_type,formula_count,value_count,error_count,sample_values,formula_signatures,confidence,required,web_mapping,validation,source_status
ChiTietLopHoc,T_ChiTietLop,E5:BD4856,45,AW,Thu&Buoi&Lop,CALCULATED,text,4851,4851,0,011900 (,1,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
ChiTietLopHoc,T_ChiTietLop,E5:BD4856,46,AX,Tháng,CALCULATED,date/datetime (xác minh),4851,4851,0,1,1,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
ChiTietLopHoc,T_ChiTietLop,E5:BD4856,47,AY,Time và buoi,CALCULATED,text,4851,4851,0, (Room N),1,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
ChiTietLopHoc,T_ChiTietLop,E5:BD4856,48,AZ,So buoi hoc,CALCULATED,text,4851,0,0,,1,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
ChiTietLopHoc,T_ChiTietLop,E5:BD4856,49,BA,So buoi nghi,CALCULATED,text,4851,0,0,,1,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
ChiTietLopHoc,T_ChiTietLop,E5:BD4856,50,BB,Tuần,CALCULATED,text,4851,0,0,,1,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
ChiTietLopHoc,T_ChiTietLop,E5:BD4856,51,BC,HomNay,CALCULATED,text,4851,0,0,,1,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
ChiTietLopHoc,T_ChiTietLop,E5:BD4856,52,BD,Column3,INPUT/MASTER,text,0,0,0,,0,Thấp,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
DSTest,T_DSTest,E6:AH508,1,E,NgayGap,INPUT/MASTER,text,0,0,0,,0,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
DSTest,T_DSTest,E6:AH508,2,F,HoTenHV,INPUT/MASTER,text,0,0,0,,0,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
DSTest,T_DSTest,E6:AH508,3,G,GioiTinh,INPUT/MASTER,text,0,0,0,,0,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
DSTest,T_DSTest,E6:AH508,4,H,DoB,INPUT/MASTER,text,0,0,0,,0,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
DSTest,T_DSTest,E6:AH508,5,I,tuoi,CALCULATED,text,502,0,0,,1,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
DSTest,T_DSTest,E6:AH508,6,J,LopHoc,CALCULATED,text,502,0,0,,1,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
DSTest,T_DSTest,E6:AH508,7,K,HoTenPH,INPUT/MASTER,text,0,0,0,,0,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
DSTest,T_DSTest,E6:AH508,8,L,Sdt,INPUT/MASTER,text,0,0,0,,0,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
