sheet,table,field,signature,example,count,rule_id,status
ChiTietLopHoc,T_ChiTietLop,Thu&Buoi&Lop,"T_ChiTietLop[[#This Row],[Column1]]&T_ChiTietLop[[#This Row],[am/pm]]&T_ChiTietLop[[#This Row],[TenLop]]","T_ChiTietLop[[#This Row],[Column1]]&T_ChiTietLop[[#This Row],[am/pm]]&T_ChiTietLop[[#This Row],[TenLop]]",4851,FR-0022,Cần chuyển thành Business Rule và UAT
ChiTietLopHoc,T_ChiTietLop,Tháng,"MONTH(T_ChiTietLop[[#This Row],[Ngay thang]])","MONTH(T_ChiTietLop[[#This Row],[Ngay thang]])",4851,FR-0023,Cần chuyển thành Business Rule và UAT
ChiTietLopHoc,T_ChiTietLop,Time và buoi,"T_ChiTietLop[[#This Row],[ThoiGian]]&"" (Room ""&T_ChiTietLop[[#This Row],[Buoi so]]&"")""","T_ChiTietLop[[#This Row],[ThoiGian]]&"" (Room ""&T_ChiTietLop[[#This Row],[Buoi so]]&"")""",4851,FR-0024,Cần chuyển thành Business Rule và UAT
ChiTietLopHoc,T_ChiTietLop,So buoi hoc,"IF(T_ChiTietLop[[#This Row],[TTHoc]]=""C"",{n},"""")","IF(T_ChiTietLop[[#This Row],[TTHoc]]=""C"",1,"""")",4851,FR-0025,Cần chuyển thành Business Rule và UAT
ChiTietLopHoc,T_ChiTietLop,So buoi nghi,"IF(T_ChiTietLop[[#This Row],[TTHoc]]=""K"",{n},"""")","IF(T_ChiTietLop[[#This Row],[TTHoc]]=""K"",1,"""")",4851,FR-0026,Cần chuyển thành Business Rule và UAT
ChiTietLopHoc,T_ChiTietLop,Tuần,"IF(T_ChiTietLop[[#This Row],[Ngay thang]]="""","""",WEEKNUM(T_ChiTietLop[[#This Row],[Ngay thang]],{n}))","IF(T_ChiTietLop[[#This Row],[Ngay thang]]="""","""",WEEKNUM(T_ChiTietLop[[#This Row],[Ngay thang]],2))",4851,FR-0027,Cần chuyển thành Business Rule và UAT
ChiTietLopHoc,T_ChiTietLop,HomNay,"IF(T_ChiTietLop[[#This Row],[Ngay thang]]=TODAY(),""Hôm nay"",IF(T_ChiTietLop[[#This Row],[Ngay thang]]=TODAY()+{n},""Ngày mai"",IF(T_ChiTietLop[[#This Row],[Ngay thang]]=TODAY()-{n},""Hôm qua"","""")))","IF(T_ChiTietLop[[#This Row],[Ngay thang]]=TODAY(),""Hôm nay"",IF(T_ChiTietLop[[#This Row],[Ngay thang]]=TODAY()+1,""Ngày mai"",IF(T_ChiTietLop[[#This Row],[Ngay thang]]=TODAY()-1,""Hôm qua"","""")))",4851,FR-0028,Cần chuyển thành Business Rule và UAT
DSTest,T_DSTest,tuoi,"IF(T_DSTest[[#This Row],[DoB]]="""","""",YEAR(TODAY())-YEAR(T_DSTest[[#This Row],[DoB]]))","IF(T_DSTest[[#This Row],[DoB]]="""","""",YEAR(TODAY())-YEAR(T_DSTest[[#This Row],[DoB]]))",502,FR-0029,Cần chuyển thành Business Rule và UAT
DSTest,T_DSTest,LopHoc,"IFERROR(IF(T_DSTest[[#This Row],[tuoi]]-{n}>{n},T_DSTest[[#This Row],[tuoi]]-{n},IF(T_DSTest[[#This Row],[tuoi]]-{n}<{n},""MN"","""")),"""")","IFERROR(IF(T_DSTest[[#This Row],[tuoi]]-5>0,T_DSTest[[#This Row],[tuoi]]-5,IF(T_DSTest[[#This Row],[tuoi]]-5<0,""MN"","""")),"""")",502,FR-0030,Cần chuyển thành Business Rule và UAT
DSTest,T_DSTest,Tình trạng cần liên hệ,"IFERROR(IF(T_DSTest[[#This Row],[Tình trạng test]]=""Chưa test"",IF(T_DSTest[[#This Row],[NgayTest]]-TODAY()<={n},""Liên hệ ngay"",""""),IF(T_DSTest[[#This Row],[MaSo]]="""",IF(T_DSTest[[#This Row],[Ngày dự kiến đi học]]-TODAY()<={n},""Liên hệ ngay"",""""),"""")),"""")","IFERROR(IF(T_DSTest[[#This Row],[Tình trạng test]]=""Chưa test"",IF(T_DSTest[[#This Row],[NgayTest]]-TODAY()<=1,""Liên hệ ngay"",""""),IF(T_DSTest[[#This Row],[MaSo]]="""",IF(T_DSTest[[#This Row],[Ngày dự kiến đi học]]-TODAY()<=1,""Liên hệ ngay"",""""),"""")),"""")",502,FR-0031,Cần chuyển thành Business Rule và UAT
DSTest,T_DSTest,TenHV&MaSo,"T_DSTest[[#This Row],[HoTenHV]]&T_DSTest[[#This Row],[MaSo]]","T_DSTest[[#This Row],[HoTenHV]]&T_DSTest[[#This Row],[MaSo]]",502,FR-0032,Cần chuyển thành Business Rule và UAT
DSTest,T_DSTest,TinhTrangHoc,"IF(T_DSTest[[#This Row],[Ngày nhập học]]<>{n},""Đã đi học"",""Chưa đi học"")","IF(T_DSTest[[#This Row],[Ngày nhập học]]<>0,""Đã đi học"",""Chưa đi học"")",502,FR-0033,Cần chuyển thành Business Rule và UAT
DSTest,T_DSTest,Tháng nhập học,"IFERROR(YEAR(T_DSTest[[#This Row],[Ngày nhập học]])&""-""&MONTH(T_DSTest[[#This Row],[Ngày nhập học]]),"""")","IFERROR(YEAR(T_DSTest[[#This Row],[Ngày nhập học]])&""-""&MONTH(T_DSTest[[#This Row],[Ngày nhập học]]),"""")",502,FR-0034,Cần chuyển thành Business Rule và UAT
